Topic,Keyword,Description,Link,Status
Images,"Image, images, photography, illustrations, stock images, backgrounds","Use our brand photography and illustrations to bring a human element to your designs. You can find our library of assets by following the link.",https://drive.google.com/drive/folders/1w7d1Z2Jk9L7Q6Lw0S4b1k5Y1P8Z1x3S9%3Fusp%3Ddrive_link,Link available
Images,"Image, images, photography, illustrations, stock images, patterns","Use our brand photography and illustrations to bring a human element to your designs. You can find our library of assets by following the link.",https://drive.google.com/drive/folders/1w7d1Z2Jk9L7Q6Lw0S4b1k5Y1P8Z1x3S9%3Fusp%3Ddrive_link,Link available
Anniversary,"anniversary, birthday, snykversary, snykversary on social","To celebrate your Snykversary on social we have images ready for you",https://drive.google.com/drive/folders/12UlXRPVCFv7Ih4Jbnbp49ibzhVFSdopf%3Fusp%3Ddrive_link,Link available
Stickers,stickers,"We have stickers available for both internal and external events, they can be downloaded from Drive.",https://drive.google.com/open?id=19WqvvrkDQADnpaQJJyQ6WGIIPi2Oi51F&usp=drive_fs,Link available
Non-Brand question,"content team, content, review, editorial","we have a content team who can help write, edit, and proofread content",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOjY1ZjUwZWMyLTQyOGUtNGVjZi04ZTFjLTZhYzI5NjRiNTgxZCIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.MfC01J_rAh2LfhXVZ4I4oMlNSK3Kp1WYBxC_yq8MUnk,Link available
Non-Brand question,"seo, search engine optimization, seo review","we have an seo manager who can help optimize your web projects",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOjY1ZjUwZWMyLTQyOGUtNGVjZi04ZTFjLTZhYzI5NjRiNTgxZCIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.MfC01J_rAh2LfhXVZ4I4oMlNSK3Kp1WYBxC_yq8MUnk,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, tone of voice","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, grammar","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, punctuation","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, spelling","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, numbers","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, links","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, headlines","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, titles","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, forms","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"style guide, voice and tone, editorial guideline, accessibility","we have a brand voice and tone guide, available on the link",https://view.snyk.io/snyk/brand-guidelines/p/6,Link available
Non-Brand question,"video, video team, video production, video request","if you need to request a video production for a campaign or event, please use the video request form",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOmRkYmU0NjdmLWIxOTUtNDcxOS1iYzUyLTY5M2I5NDVlYjhiNiIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.R2gS5ZJ9b6K2f8g8b-w-1J0w-3u3J7K9J6B1G4Y7P38,Link available
Non-Brand question,"video, video team, video production, video request, campaign video","if you need to request a video production for a campaign or event, please use the video request form",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOmRkYmU0NjdmLWIxOTUtNDcxOS1iYzUyLTY5M2I5NDVlYjhiNiIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.R2gS5ZJ9b6K2f8g8b-w-1J0w-3u3J7K9J6B1G4Y7P38,Link available
Non-Brand question,"video, video team, video production, video request, event video","if you need to request a video production for a campaign or event, please use the video request form",https://smart-forms.saasjet.com/external%3Ftoken%3DeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRLZXkiOiJqaXJhOmRkYmU0NjdmLWIxOTUtNDcxOS1iYzUyLTY5M2I5NDVlYjhiNiIsImlhdCI6MTcxOTUxNDE4NjM1Nn0.R2gS5ZJ9b6K2f8g8b-w-1J0w-3u3J7K9J6B1G4Y7P38,Link available
